model_type,train_protocol,eval_profile,eval_protocol,scope,horizon_s,n_seeds_total,n_anomaly_excluded,n_rollout_diverged,n_seeds_used,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posmed_min,posmed_max,posp95_mean_of_seed_p95s,posp95_median_of_seed_p95s,posp95_max,completion_mean,excluded_seeds,diverged_seeds
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,PRBS,10.0,5,0,0,5,0.4603,0.4668,0.4252,0.5005,0.8856,0.8613,1.0074,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,PRBS,30.0,5,0,0,5,1.5884,1.6006,1.4816,1.7094,2.8291,2.8677,3.2042,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,PRBS,60.0,5,0,0,5,3.1106,3.0762,2.8551,3.3859,5.6819,5.6236,6.2126,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,overall,10.0,5,0,0,5,0.4985,0.4982,0.4775,0.5144,0.8931,0.8647,1.0068,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,overall,30.0,5,0,0,5,1.6058,1.5825,1.5308,1.7608,2.8622,2.7856,3.1752,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,overall,60.0,5,0,0,5,3.3168,3.1741,3.0737,3.9789,5.9388,5.5206,7.9369,,,
ablate_no_lift,v4lite,nominal_eval,iid_noisy_ic,CHIRP,10.0,5,0,0,5,0.1396,0.1328,0.1073,0.2,0.3373,0.3304,0.3796,,,
ablate_no_lift,v4lite,nominal_eval,iid_noisy_ic,CHIRP,30.0,5,0,0,5,0.5037,0.3579,0.3243,1.0727,1.1453,0.9658,1.9246,,,
ablate_no_lift,v4lite,nominal_eval,iid_noisy_ic,CHIRP,60.0,5,0,0,5,1.4289,0.7737,0.7414,3.7381,2.8832,2.3897,5.4363,,,
ablate_no_lift,v4lite,nominal_eval,iid_noisy_ic,OU,10.0,5,0,0,5,0.2054,0.2129,0.1639,0.2281,0.5242,0.5106,0.6432,,,
