path,size_bytes,under_rollout_benchmark,referenced_by_tracked_doc,action,reason
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/diagnostic_plots/velocity_violation_OU_seed200061.png,568596,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/error_growth.png,623384,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/example_rollouts.png,854262,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/terminal_error_boxplots.png,93684,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/diagnostic_plots/high_terminal_error_OU_seed200058.png,557800,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/diagnostic_plots/high_terminal_error_OU_seed200059.png,578125,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/diagnostic_plots/high_terminal_error_OU_seed200062.png,577870,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/diagnostic_plots/high_terminal_error_PRBS_seed46.png,578911,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/diagnostic_plots/velocity_violation_OU_seed200055.png,619923,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/diagnostic_plots/velocity_violation_OU_seed200061.png,551951,1,0,purge,regenerable from the CSV/JSON beside it
