model_type,seed,epoch,train_total,test_total,train_so3_orth,train_success_rate
phnode_full,42,234,0.00385529,0.0040315,1.17208e-07,1
phnode_full,42,235,0.00386359,0.00402907,1.17144e-07,1
phnode_full,42,236,0.0038586,0.0040322,1.17049e-07,1
phnode_full,42,237,0.00386034,0.00402735,1.17183e-07,1
phnode_full,42,238,0.00385802,0.00402749,1.17219e-07,1
phnode_full,42,239,0.00385914,0.00402842,1.17128e-07,1
phnode_full,42,240,0.00385759,0.00402936,1.17216e-07,1
phnode_full,42,241,0.00385434,0.00402824,1.17289e-07,1
phnode_full,42,242,0.00384956,0.00403267,1.17134e-07,1
phnode_full,42,243,0.00385389,0.00402942,1.17162e-07,1
phnode_full,42,244,0.00385618,0.00402278,1.17178e-07,1
phnode_full,42,245,0.00385291,0.00402222,1.1719e-07,1
phnode_full,42,246,0.00385272,0.00402682,1.17204e-07,1
phnode_full,42,247,0.00385267,0.00402492,1.1722e-07,1
phnode_full,42,248,0.00385931,0.00402334,1.17207e-07,1
phnode_full,42,249,0.00384581,0.00402145,1.17344e-07,1
phnode_full,42,250,0.00385309,0.00402488,1.17162e-07,1
phnode_full,43,1,4.40432,5.27094,1.26107e-07,1
phnode_full,43,2,3.66543,4.53427,1.1919e-07,1
phnode_full,43,3,3.11323,3.5704,1.16666e-07,1
phnode_full,43,4,2.31684,2.25506,1.14871e-07,1
phnode_full,43,5,1.292,1.18195,1.14442e-07,1
phnode_full,43,6,0.800454,0.790188,1.1372e-07,1
phnode_full,43,7,0.679212,0.872892,1.13605e-07,1
phnode_full,43,8,0.664248,0.484795,1.15537e-07,1
phnode_full,43,9,0.582023,2.03943,1.17935e-07,1
phnode_full,43,10,0.864359,0.909808,1.21333e-07,1
phnode_full,43,11,0.818436,0.794882,1.21326e-07,1
phnode_full,43,12,0.489044,0.530512,1.28385e-07,1
phnode_full,43,13,0.361881,0.33549,1.16646e-07,1
phnode_full,43,14,2.72909,1.36305,7.35397e-07,1
phnode_full,43,15,0.914923,0.793325,9.77343e-07,1
phnode_full,43,16,0.476408,0.489239,1.79587e-07,1
phnode_full,43,17,0.353882,0.395163,1.19868e-07,1
